"filename", "language", "XML", "HTML", "Properties", "Java", "JavaScript", "Shell Script", "Markdown", "Batch", "PostCSS", "Log", "comment", "blank", "total"
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\API_DOCUMENTATION.md", "Markdown", 0, 0, 0, 0, 0, 0, 258, 0, 0, 0, 0, 104, 362
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 133, 0, 0, 0, 0, 36, 169
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\logs\application.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1032, 0, 17, 1049
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\logs\database.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 298, 0, 1, 299
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\pom.xml", "XML", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 79
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\run.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 1, 6, 40
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\run.sh", "Shell Script", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 2, 6, 36
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\CrudApplication.java", "Java", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\config\DataInitializer.java", "Java", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 9, 22, 110
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\config\SecurityConfig.java", "Java", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 7, 53
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\controller\LogController.java", "Java", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 6, 12, 76
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\controller\LoginController.java", "Java", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\controller\OrderController.java", "Java", 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 7, 18, 142
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\controller\OrderWebController.java", "Java", 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 26, 134
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\controller\ProductController.java", "Java", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 8, 14, 101
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\controller\UserController.java", "Java", 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 3, 15, 107
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\controller\WebController.java", "Java", 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 16, 101
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\exception\GlobalExceptionHandler.java", "Java", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 1, 14, 78
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\model\Order.java", "Java", 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 3, 31, 134
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\model\Product.java", "Java", 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 3, 22, 99
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\model\User.java", "Java", 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 2, 22, 99
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\repository\OrderRepository.java", "Java", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\repository\ProductRepository.java", "Java", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 6, 20
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\repository\UserRepository.java", "Java", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 6, 16
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\service\CustomUserDetailsService.java", "Java", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 8, 42
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\service\LogService.java", "Java", 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 34, 15, 162
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\service\OrderService.java", "Java", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\service\OrderServiceImpl.java", "Java", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 12, 65
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\service\ProductService.java", "Java", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 11, 25
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\service\ProductServiceImpl.java", "Java", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 17, 72
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\service\UserService.java", "Java", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 11, 24
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\java\com\example\crud\service\UserServiceImpl.java", "Java", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 2, 17, 78
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\application.properties", "Properties", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 2, 3, 20
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\logback.xml", "XML", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 57
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\static\css\orders.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 2, 5, 31
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\static\css\style.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 217, 0, 11, 43, 271
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\static\js\script.js", "JavaScript", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 4, 3, 36
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\templates\admin\logs.html", "HTML", 0, 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 185
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\templates\error.html", "HTML", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 45
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\templates\login.html", "HTML", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 77
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\templates\orders\form.html", "HTML", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 74
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\templates\orders\list.html", "HTML", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 76
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\templates\products\form.html", "HTML", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 61
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\templates\products\list.html", "HTML", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 88
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\templates\users\form.html", "HTML", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 76
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\main\resources\templates\users\list.html", "HTML", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 75
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\test\java\com\example\crud\CrudApplicationTests.java", "Java", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\test\java\com\example\crud\controller\ProductControllerTest.java", "Java", 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 12, 26, 128
"c:\Proyectos\MISO\2025 13 Modernizacion\sample-sprint-boot\src\test\java\com\example\crud\service\UserServiceTest.java", "Java", 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 22, 34, 169
"Total", "-", 122, 686, 15, 1590, 29, 28, 391, 33, 241, 1330, 144, 704, 5313
